Timestamp,Symbol,Signal_Type,Close,Strength,Reason,OR_High,OR_Low
2026-07-30 09:56:52,HINDUNILVR,REVERSAL_DOWN,2119.30,100,Bearish reversal: broke below OR_LOW (2123.20) by 110.91%,2128.70,2123.20
2026-07-30 09:56:52,AUROPHARMA,REVERSAL_UP,1606.40,28,Bullish reversal: broke above OR_HIGH (1605.00) by 14.04%,1605.00,1593.60
2026-07-30 09:56:52,TMPV,REVERSAL_UP,330.90,100,Bullish reversal: broke above OR_HIGH (330.60) by 51.61%,330.60,329.05
2026-07-30 09:56:52,BANKINDIA,REVERSAL_DOWN,136.82,100,Bearish reversal: broke below OR_LOW (137.05) by 51.11%,137.50,137.05
2026-07-30 09:56:52,PNB,REVERSAL_UP,111.38,100,Bullish reversal: broke above OR_HIGH (111.02) by 146.43%,111.02,110.74
2026-07-30 09:56:52,INDHOTEL,REVERSAL_UP,739.05,69,Bullish reversal: broke above OR_HIGH (738.80) by 34.62%,738.80,736.20
2026-07-30 09:56:52,LAURUSLABS,REVERSAL_UP,1793.80,17,Bullish reversal: broke above OR_HIGH (1793.00) by 8.49%,1793.00,1782.40
2026-07-30 09:58:59,CDSL,REVERSAL_DOWN,1336.40,32,Bearish reversal: broke below OR_LOW (1337.30) by 16.07%,1342.90,1337.30
2026-07-30 09:58:59,LICI,REVERSAL_UP,426.55,26,Bullish reversal: broke above OR_HIGH (426.30) by 12.82%,426.30,424.35
2026-07-30 10:01:07,IOC,REVERSAL_UP,140.56,82,Bullish reversal: broke above OR_HIGH (140.45) by 40.98%,140.45,139.84
2026-07-30 10:01:07,NMDC,REVERSAL_DOWN,85.67,76,Bearish reversal: broke below OR_LOW (85.74) by 37.93%,86.03,85.74
2026-07-30 10:03:42,MAXHEALTH,REVERSAL_UP,1118.70,100,Bullish reversal: broke above OR_HIGH (1117.10) by 69.23%,1117.10,1113.20
2026-07-30 10:05:58,TATAELXSI,REVERSAL_UP,3695.40,72,Bullish reversal: broke above OR_HIGH (3690.00) by 36.00%,3690.00,3675.00
2026-07-30 10:05:58,BAJAJFINSV,REVERSAL_DOWN,1912.60,100,Bearish reversal: broke below OR_LOW (1925.30) by 235.19%,1930.70,1925.30
2026-07-30 10:08:04,SUZLON,REVERSAL_DOWN,46.32,30,Bearish reversal: broke below OR_LOW (46.36) by 14.81%,46.63,46.36
2026-07-30 10:16:36,TATASTEEL,REVERSAL_DOWN,187.35,39,Bearish reversal: broke below OR_LOW (187.45) by 19.40%,188.12,187.45
2026-07-30 10:20:53,BANDHANBNK,REVERSAL_DOWN,172.18,52,Bearish reversal: broke below OR_LOW (172.40) by 25.88%,173.25,172.40
2026-07-30 10:23:29,VMM,REVERSAL_UP,108.55,82,Bullish reversal: broke above OR_HIGH (108.32) by 41.18%,108.32,107.64
2026-07-30 10:25:36,ITC,REVERSAL_DOWN,286.40,62,Bearish reversal: broke below OR_LOW (286.65) by 31.03%,288.10,286.65
2026-07-30 10:40:29,BEL,REVERSAL_UP,385.55,62,Bullish reversal: broke above OR_HIGH (385.35) by 30.77%,385.35,384.05
2026-07-30 10:42:36,NAUKRI,REVERSAL_DOWN,1252.80,17,Bearish reversal: broke below OR_LOW (1253.75) by 8.44%,1265.00,1253.75
2026-07-30 10:55:49,MANAPPURAM,REVERSAL_DOWN,369.15,100,Bearish reversal: broke below OR_LOW (370.00) by 54.84%,371.55,370.00
2026-07-30 11:26:39,BSE,REVERSAL_UP,3535.00,24,Bullish reversal: broke above OR_HIGH (3533.00) by 11.76%,3533.00,3516.00
2026-07-30 11:28:44,INFY,REVERSAL_DOWN,1172.50,69,Bearish reversal: broke below OR_LOW (1174.80) by 34.31%,1185.00,1174.80
2026-07-30 11:30:49,INDIANB,REVERSAL_UP,829.05,39,Bullish reversal: broke above OR_HIGH (828.40) by 19.39%,828.40,823.50
2026-07-30 11:30:49,DABUR,REVERSAL_UP,421.10,27,Bullish reversal: broke above OR_HIGH (420.60) by 13.75%,420.60,416.60
2026-07-30 11:32:54,HDFCBANK,REVERSAL_DOWN,748.05,100,Bearish reversal: broke below OR_LOW (748.35) by 122.73%,749.45,748.35
